,LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
24772,MAC000303,ToU,2013-07-06 12:30:00.0000000, 0.033 ,ACORN-L,Adversity
24773,MAC000303,ToU,2013-07-06 13:00:00.0000000, 0.177 ,ACORN-L,Adversity
24774,MAC000303,ToU,2013-07-06 13:30:00.0000000, 0.125 ,ACORN-L,Adversity
24775,MAC000303,ToU,2013-07-06 14:00:00.0000000, 0.119 ,ACORN-L,Adversity
24776,MAC000303,ToU,2013-07-06 14:30:00.0000000, 0.131 ,ACORN-L,Adversity
24777,MAC000303,ToU,2013-07-06 15:00:00.0000000, 0.208 ,ACORN-L,Adversity
24778,MAC000303,ToU,2013-07-06 15:30:00.0000000, 0.122 ,ACORN-L,Adversity
24779,MAC000303,ToU,2013-07-06 16:00:00.0000000, 0.112 ,ACORN-L,Adversity
24780,MAC000303,ToU,2013-07-06 16:30:00.0000000, 0.042 ,ACORN-L,Adversity
24781,MAC000303,ToU,2013-07-06 17:00:00.0000000, 0.147 ,ACORN-L,Adversity
24782,MAC000303,ToU,2013-07-06 17:30:00.0000000, 0.423 ,ACORN-L,Adversity
24783,MAC000303,ToU,2013-07-06 18:00:00.0000000, 0.139 ,ACORN-L,Adversity
24784,MAC000303,ToU,2013-07-06 18:30:00.0000000, 0.13 ,ACORN-L,Adversity
24785,MAC000303,ToU,2013-07-06 19:00:00.0000000, 0.145 ,ACORN-L,Adversity
24786,MAC000303,ToU,2013-07-06 19:30:00.0000000, 0.145 ,ACORN-L,Adversity
24787,MAC000303,ToU,2013-07-06 20:00:00.0000000, 0.075 ,ACORN-L,Adversity
24788,MAC000303,ToU,2013-07-06 20:30:00.0000000, 0.199 ,ACORN-L,Adversity
