DateTime,Acorn_grouped,stdorToU,LCLid,KWH/h (per hour)
2011-12-02 05:00:00,Comfortable,Std,31,0.279393518519
2011-12-02 05:00:00,Comfortable,ToU,4,0.1695
2011-12-02 06:00:00,Adversity,Std,20,0.216741666667
2011-12-02 06:00:00,Adversity,ToU,4,0.674
2011-12-02 06:00:00,Affluent,Std,27,0.687538461539
2011-12-02 06:00:00,Affluent,ToU,6,0.252875
2011-12-02 06:00:00,Comfortable,Std,31,0.354708331482
2011-12-02 06:00:00,Comfortable,ToU,4,0.239166666666
2011-12-02 07:00:00,Adversity,Std,20,0.405475
2011-12-02 07:00:00,Adversity,ToU,4,0.392166666667
2011-12-02 07:00:00,Affluent,Std,27,1.32976923077
2011-12-02 07:00:00,Affluent,ToU,6,0.211875
2011-12-02 07:00:00,Comfortable,Std,31,0.36889352037
2011-12-02 07:00:00,Comfortable,ToU,4,0.378999999999
2011-12-02 08:00:00,Adversity,Std,20,0.414091666667
2011-12-02 08:00:00,Adversity,ToU,4,0.394833333333
2011-12-02 08:00:00,Affluent,Std,27,1.40525
2011-12-02 08:00:00,Affluent,ToU,6,0.351
2011-12-02 08:00:00,Comfortable,Std,31,0.606199075926
2011-12-02 08:00:00,Comfortable,ToU,4,0.315833333334
2011-12-02 09:00:00,Adversity,Std,20,0.569633333333
2011-12-02 09:00:00,Adversity,ToU,4,0.572166666667
2011-12-02 09:00:00,Affluent,Std,27,0.579519230769
2011-12-02 09:00:00,Affluent,ToU,6,1.02625
2011-12-02 09:00:00,Comfortable,Std,31,0.702657405556
2011-12-02 09:00:00,Comfortable,ToU,4,0.398
2011-12-02 10:00:00,Adversity,Std,20,0.431233333334
2011-12-02 10:00:00,Adversity,ToU,4,0.315
2011-12-02 10:00:00,Affluent,Std,27,0.77392308077
2011-12-02 10:00:00,Affluent,ToU,6,1.151250025
2011-12-02 10:00:00,Comfortable,Std,34,0.67121382691
2011-12-02 10:00:00,Comfortable,ToU,4,0.288500000001
2011-12-02 11:00:00,Adversity,Std,20,0.343241666667
2011-12-02 11:00:00,Adversity,ToU,4,0.230333333333
2011-12-02 11:00:00,Affluent,Std,28,0.694999996296
2011-12-02 11:00:00,Affluent,ToU,6,0.80775
2011-12-02 11:00:00,Comfortable,Std,36,0.546073817535
2011-12-02 11:00:00,Comfortable,ToU,4,0.362833333333
2011-12-02 12:00:00,Adversity,Std,20,0.907241666667
2011-12-02 12:00:00,Adversity,ToU,4,0.209666666667
2011-12-02 12:00:00,Affluent,Std,28,0.702703707407
2011-12-02 12:00:00,Affluent,ToU,6,0.686625
2011-12-02 12:00:00,Comfortable,Std,37,0.465327462947
2011-12-02 12:00:00,Comfortable,ToU,4,0.305166666667
2011-12-02 13:00:00,Adversity,Std,20,0.895441666667
2011-12-02 13:00:00,Adversity,ToU,4,0.4045
2011-12-02 13:00:00,Affluent,Std,28,0.625444448148
2011-12-02 13:00:00,Affluent,ToU,6,0.56475
2011-12-02 13:00:00,Comfortable,Std,37,0.411931183871
2011-12-02 13:00:00,Comfortable,ToU,4,0.380666666667
2011-12-02 14:00:00,Adversity,Std,21,0.67185
2011-12-02 14:00:00,Adversity,ToU,4,0.625166666667
2011-12-02 14:00:00,Affluent,Std,28,0.68675925926
2011-12-02 14:00:00,Affluent,ToU,6,0.443
2011-12-02 14:00:00,Comfortable,Std,37,0.451402148387
2011-12-02 14:00:00,Comfortable,ToU,4,0.399833333333
2011-12-02 15:00:00,Adversity,Std,21,0.662350001667
2011-12-02 15:00:00,Adversity,ToU,4,0.692166666667
2011-12-02 15:00:00,Affluent,Std,28,0.624259259259
2011-12-02 15:00:00,Affluent,ToU,6,0.3305
2011-12-02 15:00:00,Comfortable,Std,37,0.488047311828
2011-12-02 15:00:00,Comfortable,ToU,4,0.601
2011-12-02 16:00:00,Adversity,Std,21,0.886950001667
2011-12-02 16:00:00,Adversity,ToU,4,0.678666666667
2011-12-02 16:00:00,Affluent,Std,28,0.691333333333
2011-12-02 16:00:00,Affluent,ToU,6,0.24375
2011-12-02 16:00:00,Comfortable,Std,37,0.490393546237
2011-12-02 16:00:00,Comfortable,ToU,4,0.291500000001
2011-12-02 17:00:00,Adversity,Std,21,1.02855
2011-12-02 17:00:00,Adversity,ToU,4,0.886166666667
2011-12-02 17:00:00,Affluent,Std,28,0.69025925926
2011-12-02 17:00:00,Affluent,ToU,6,0.366875
2011-12-02 17:00:00,Comfortable,Std,37,0.571860215054
2011-12-02 17:00:00,Comfortable,ToU,4,0.257833333333
2011-12-02 18:00:00,Adversity,Std,21,1.08944999667
2011-12-02 18:00:00,Adversity,ToU,4,0.9245
2011-12-02 18:00:00,Affluent,Std,28,1.36201851852
2011-12-02 18:00:00,Affluent,ToU,6,0.408875
2011-12-02 18:00:00,Comfortable,Std,37,0.733552688172
2011-12-02 18:00:00,Comfortable,ToU,4,0.296166666666
2011-12-02 19:00:00,Adversity,Std,21,1.21718333833
2011-12-02 19:00:00,Adversity,ToU,4,1.07083333333
2011-12-02 19:00:00,Affluent,Std,28,1.43957407407
2011-12-02 19:00:00,Affluent,ToU,6,0.519
2011-12-02 19:00:00,Comfortable,Std,37,0.853922578495
2011-12-02 19:00:00,Comfortable,ToU,4,0.711333333333
2011-12-02 20:00:00,Adversity,Std,21,0.98191667
2011-12-02 20:00:00,Adversity,ToU,4,1.02983333333
2011-12-02 20:00:00,Affluent,Std,28,1.47866666481
2011-12-02 20:00:00,Affluent,ToU,6,0.638875
2011-12-02 20:00:00,Comfortable,Std,37,0.802524731183
2011-12-02 20:00:00,Comfortable,ToU,4,0.665500000001
2011-12-02 21:00:00,Adversity,Std,21,0.946933336666
2011-12-02 21:00:00,Adversity,ToU,4,1.0245
2011-12-02 21:00:00,Affluent,Std,28,1.8222037037
2011-12-02 21:00:00,Affluent,ToU,6,0.514625
2011-12-02 21:00:00,Comfortable,Std,37,0.854505376344
2011-12-02 21:00:00,Comfortable,ToU,4,0.5445
2011-12-02 22:00:00,Adversity,Std,21,1.25426666667
2011-12-02 22:00:00,Adversity,ToU,4,1.1055
2011-12-02 22:00:00,Affluent,Std,28,1.49024074259
2011-12-02 22:00:00,Affluent,ToU,6,0.451125
2011-12-02 22:00:00,Comfortable,Std,37,0.988378494624
2011-12-02 22:00:00,Comfortable,ToU,4,0.583166666667
2011-12-02 23:00:00,Adversity,Std,21,1.016699975
2011-12-02 23:00:00,Adversity,ToU,4,1.04583333333
