,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
313,2012-12-03 04:00:00,Adversity,ToU,296,0.178595727895
314,2012-12-03 04:00:00,Affluent,Std,1691,0.341943822212
315,2012-12-03 04:00:00,Affluent,ToU,486,0.303137386615
316,2012-12-03 04:00:00,Comfortable,Std,1174,0.281669322955
317,2012-12-03 04:00:00,Comfortable,ToU,322,0.21523411949
318,2012-12-03 05:00:00,Adversity,Std,1501,0.242043475615
319,2012-12-03 05:00:00,Adversity,ToU,296,0.184413426905
320,2012-12-03 05:00:00,Affluent,Std,1670,0.338985413128
321,2012-12-03 05:00:00,Affluent,ToU,479,0.308613946437
322,2012-12-03 05:00:00,Comfortable,Std,1174,0.281160908309
323,2012-12-03 05:00:00,Comfortable,ToU,322,0.230380570119
324,2012-12-03 06:00:00,Adversity,Std,1507,0.265584494559
325,2012-12-03 06:00:00,Adversity,ToU,296,0.220383154371
326,2012-12-03 06:00:00,Affluent,Std,1691,0.38255220519
327,2012-12-03 06:00:00,Affluent,ToU,486,0.340762058844
328,2012-12-03 06:00:00,Comfortable,Std,1174,0.31644918054
329,2012-12-03 06:00:00,Comfortable,ToU,322,0.258911414948
330,2012-12-03 07:00:00,Adversity,Std,1507,0.363667879482
331,2012-12-03 07:00:00,Adversity,ToU,296,0.297820992235
332,2012-12-03 07:00:00,Affluent,Std,1691,0.537958069768
333,2012-12-03 07:00:00,Affluent,ToU,486,0.452326048186
334,2012-12-03 07:00:00,Comfortable,Std,1174,0.468425508829
335,2012-12-03 07:00:00,Comfortable,ToU,322,0.342512897549
336,2012-12-03 08:00:00,Adversity,Std,1507,0.448128947889
337,2012-12-03 08:00:00,Adversity,ToU,296,0.458803209211
338,2012-12-03 08:00:00,Affluent,Std,1691,0.751018504614
339,2012-12-03 08:00:00,Affluent,ToU,486,0.660412775443
340,2012-12-03 08:00:00,Comfortable,Std,1174,0.568484951946
341,2012-12-03 08:00:00,Comfortable,ToU,322,0.448763207609
342,2012-12-03 09:00:00,Adversity,Std,1507,0.430041863591
343,2012-12-03 09:00:00,Adversity,ToU,296,0.478097653114
344,2012-12-03 09:00:00,Affluent,Std,1691,0.76735522714
345,2012-12-03 09:00:00,Affluent,ToU,486,0.869655722805
346,2012-12-03 09:00:00,Comfortable,Std,1174,0.562171598405
347,2012-12-03 09:00:00,Comfortable,ToU,322,0.451467833577
348,2012-12-03 10:00:00,Adversity,Std,1507,0.405153912987
349,2012-12-03 10:00:00,Adversity,ToU,296,0.413569184098
350,2012-12-03 10:00:00,Affluent,Std,1691,0.705287310604
351,2012-12-03 10:00:00,Affluent,ToU,486,0.746503002733
352,2012-12-03 10:00:00,Comfortable,Std,1174,0.501422856312
353,2012-12-03 10:00:00,Comfortable,ToU,322,0.44997220198
354,2012-12-03 11:00:00,Adversity,Std,1507,0.380211823607
355,2012-12-03 11:00:00,Adversity,ToU,296,0.385470563396
356,2012-12-03 11:00:00,Affluent,Std,1691,0.732594284428
357,2012-12-03 11:00:00,Affluent,ToU,485,0.633435874323
358,2012-12-03 11:00:00,Comfortable,Std,1174,0.492776234778
359,2012-12-03 11:00:00,Comfortable,ToU,322,0.425325032663
360,2012-12-03 12:00:00,Adversity,Std,1507,0.386192399392
361,2012-12-03 12:00:00,Adversity,ToU,296,0.387730521939
362,2012-12-03 12:00:00,Affluent,Std,1691,0.666778178141
363,2012-12-03 12:00:00,Affluent,ToU,486,0.625635687656
364,2012-12-03 12:00:00,Comfortable,Std,1174,0.521346402104
365,2012-12-03 12:00:00,Comfortable,ToU,322,0.387196174466
366,2012-12-03 13:00:00,Adversity,Std,1507,0.418072022272
367,2012-12-03 13:00:00,Adversity,ToU,296,0.428797577482
368,2012-12-03 13:00:00,Affluent,Std,1691,0.685934176581
369,2012-12-03 13:00:00,Affluent,ToU,486,0.595284544467
370,2012-12-03 13:00:00,Comfortable,Std,1174,0.507959923242
371,2012-12-03 13:00:00,Comfortable,ToU,322,0.386759213815
372,2012-12-03 14:00:00,Adversity,Std,1507,0.416189219858
373,2012-12-03 14:00:00,Adversity,ToU,296,0.40452955597
374,2012-12-03 14:00:00,Affluent,Std,1691,0.682223873055
375,2012-12-03 14:00:00,Affluent,ToU,486,0.619504948167
376,2012-12-03 14:00:00,Comfortable,Std,1174,0.503660711416
377,2012-12-03 14:00:00,Comfortable,ToU,322,0.363760756108
378,2012-12-03 15:00:00,Adversity,Std,1507,0.394894628251
379,2012-12-03 15:00:00,Adversity,ToU,296,0.400883400143
380,2012-12-03 15:00:00,Affluent,Std,1691,0.647493910118
381,2012-12-03 15:00:00,Affluent,ToU,486,0.604973688291
382,2012-12-03 15:00:00,Comfortable,Std,1174,0.481745816181
383,2012-12-03 15:00:00,Comfortable,ToU,322,0.371382016532
384,2012-12-03 16:00:00,Adversity,Std,1506,0.435802050015
385,2012-12-03 16:00:00,Adversity,ToU,296,0.438093531268
386,2012-12-03 16:00:00,Affluent,Std,1691,0.701329111413
387,2012-12-03 16:00:00,Affluent,ToU,486,0.665721413008
388,2012-12-03 16:00:00,Comfortable,Std,1174,0.528745618092
389,2012-12-03 16:00:00,Comfortable,ToU,322,0.477465168715
390,2012-12-03 17:00:00,Adversity,Std,1505,0.560152263325
391,2012-12-03 17:00:00,Adversity,ToU,295,0.597354057428
392,2012-12-03 17:00:00,Affluent,Std,1691,0.864280391134
393,2012-12-03 17:00:00,Affluent,ToU,486,0.879314352136
394,2012-12-03 17:00:00,Comfortable,Std,1174,0.715800780907
395,2012-12-03 17:00:00,Comfortable,ToU,322,0.662471537412
396,2012-12-03 18:00:00,Adversity,Std,1486,0.66591076114
397,2012-12-03 18:00:00,Adversity,ToU,290,0.748885112185
398,2012-12-03 18:00:00,Affluent,Std,1691,1.09101572531
399,2012-12-03 18:00:00,Affluent,ToU,486,1.02570242631
