DateTime,Acorn_grouped,stdorToU,N,nrg_cons
2011-12-03 10:00:00,Affluent,Std,30,0.688928570238
2011-12-03 10:00:00,Affluent,ToU,6,0.158125
2011-12-03 10:00:00,Comfortable,Std,38,0.29378268605
2011-12-03 10:00:00,Comfortable,ToU,5,0.233691666667
2011-12-03 11:00:00,Adversity,Std,20,0.553178571428
2011-12-03 11:00:00,Adversity,ToU,4,0.590166666667
2011-12-03 11:00:00,Affluent,Std,30,0.956511904762
2011-12-03 11:00:00,Affluent,ToU,6,0.296125
2011-12-03 11:00:00,Comfortable,Std,39,0.459729166667
2011-12-03 11:00:00,Comfortable,ToU,5,0.251875
2011-12-03 12:00:00,Adversity,Std,20,0.571678571428
2011-12-03 12:00:00,Adversity,ToU,4,0.644
2011-12-03 12:00:00,Affluent,Std,31,0.880175112908
2011-12-03 12:00:00,Affluent,ToU,6,0.203625
2011-12-03 12:00:00,Comfortable,Std,42,0.500850311147
2011-12-03 12:00:00,Comfortable,ToU,5,0.204875
2011-12-03 13:00:00,Adversity,Std,20,0.654178583929
2011-12-03 13:00:00,Adversity,ToU,4,0.491833333333
2011-12-03 13:00:00,Affluent,Std,31,0.723275862069
2011-12-03 13:00:00,Affluent,ToU,6,0.254625
2011-12-03 13:00:00,Comfortable,Std,42,0.556227273737
2011-12-03 13:00:00,Comfortable,ToU,5,0.575625
2011-12-03 14:00:00,Adversity,Std,21,0.52381377551
2011-12-03 14:00:00,Adversity,ToU,4,0.565666666667
2011-12-03 14:00:00,Affluent,Std,31,0.335149425287
2011-12-03 14:00:00,Affluent,ToU,6,0.168625
2011-12-03 14:00:00,Comfortable,Std,42,0.636060617172
2011-12-03 14:00:00,Comfortable,ToU,5,0.278875
2011-12-03 15:00:00,Adversity,Std,22,0.578909090909
2011-12-03 15:00:00,Adversity,ToU,4,0.556833333333
2011-12-03 15:00:00,Affluent,Std,31,0.333632183908
2011-12-03 15:00:00,Affluent,ToU,6,0.146125
2011-12-03 15:00:00,Comfortable,Std,42,0.629414141414
2011-12-03 15:00:00,Comfortable,ToU,5,0.242
2011-12-03 16:00:00,Adversity,Std,22,0.38935
2011-12-03 16:00:00,Adversity,ToU,4,0.422833333333
2011-12-03 16:00:00,Affluent,Std,31,0.391689655172
2011-12-03 16:00:00,Affluent,ToU,6,0.184875
2011-12-03 16:00:00,Comfortable,Std,42,0.476808080808
2011-12-03 16:00:00,Comfortable,ToU,5,0.544625
2011-12-03 17:00:00,Adversity,Std,22,0.426466666667
